hip,ra,dec,mag
173,0.54959887,47.57722222,8.45
174,0.55156687,59.96533825,8.86
175,0.55243583,49.77113897,7.84
176,0.55333411,44.42827722,8.86
177,0.56020401,-11.96434717,8.93
178,0.5677962,-27.13517299,7.97
179,0.56886229,-13.40751554,6.9
180,0.57090231,-9.17489501,8.47
181,0.57381667,60.7031946,6.77
182,0.58116809,52.58643746,8.55
183,0.58297574,-29.72044805,5.04
184,0.58977565,11.00634091,8.48
185,0.5901502,10.78564387,8.53
186,0.60069792,8.9568336,6.33
187,0.60211418,-6.05918213,8.99
188,0.60250452,6.33313676,8.64
189,0.60528721,54.13515756,9.55
190,0.60555642,10.77665206,8.74
191,0.61228711,-46.02884131,12.43
192,0.61983117,8.39393024,8.16
193,0.62164007,-39.21249918,9.46
194,0.62398938,8.48557854,5.7
195,0.62573691,47.42295978,7.62
196,0.62700447,51.82997958,8.95
197,0.63232895,42.14779896,8.97
198,0.63269567,15.33519012,8.94
199,0.6350323,16.25655097,7.24
200,0.63546326,-33.99267216,10.32
201,0.639314,18.68336438,8.24
202,0.64173419,54.55216087,8.62
203,0.64222918,-15.83126945,9.18
204,0.64508403,-43.94791349,8.53
205,0.64571113,-5.18664439,8.54
206,0.64683993,18.83599601,8.56
208,0.64992943,-67.63428107,9.41
207,0.65034249,66.09896341,5.87
209,0.6601596,66.10037725,7.2
210,0.66214867,-8.48794379,9.05
211,0.66317884,-37.94768074,9.52
212,0.6634419,-29.07525103,10.24
213,0.66686344,51.47241278,7.7
214,0.66917246,28.54222144,8.17
217,0.67441616,82.97320953,7.29
215,0.67449039,75.03619342,9.26
216,0.67692229,42.92069156,7.94
218,0.67974974,-57.63363086,8.42
219,0.69022925,6.03445242,8.56
220,0.69173956,35.81547283,7.52
221,0.69321513,80.28224146,7.74
222,0.69448089,-40.9831797,8.85
224,0.69625192,3.86040514,9.01
223,0.69641117,2.1303764,7.17
225,0.7000638,-15.04053128,9.04
226,0.70031218,-24.94525463,10.3
227,0.70416774,80.28651236,9.86
228,0.71015217,28.25189113,7.64
229,0.71393463,47.25228068,8.27
230,0.71569526,30.3365158,8.44
231,0.72341351,-58.78139077,9.58
232,0.73006132,-30.14977973,8.43
233,0.73197615,71.35854324,8.49
234,0.73358145,70.23800778,9.64
235,0.73646864,71.36804423,9.17
236,0.73781657,-0.89382979,8.09
237,0.7391122,-39.52732256,9.0
238,0.7392741,-20.04607402,6.25
239,0.743174,3.38193739,8.56
240,0.74376859,9.79522025,10.81
241,0.75196696,9.13829706,8.76
242,0.75216595,-34.74405055,7.76
243,0.75337695,-60.69189462,7.82
244,0.75886478,39.99515242,7.9
245,0.76358207,-7.81552594,8.52
246,0.76368704,56.733184,9.73
247,0.76552823,8.2614134,9.19
248,0.76575139,8.27080462,8.1
249,0.77419621,31.87010321,8.75
250,0.77431725,52.46516859,8.14
251,0.7754055,-25.26104885,8.65
252,0.77959051,29.48598254,10.3
253,0.78257245,-24.14513788,6.46
254,0.78466955,42.74791705,6.73
255,0.79452371,-24.58828778,7.96
256,0.79659523,54.51584355,9.53
257,0.80301496,-31.21239379,8.87
258,0.80532807,17.55239698,6.59
259,0.8059041,48.7223389,8.65
260,0.81709566,-55.40508846,9.64
261,0.82050122,-23.61534569,9.15
262,0.82579542,32.84586959,9.04
263,0.82923787,4.68713578,12.04
264,0.83207925,38.24401553,8.42
266,0.83535989,-11.94520986,8.09
265,0.83539281,-64.4760807,9.06
267,0.83541112,-4.14573041,8.09
268,0.84180567,59.07861165,8.18
269,0.84205196,23.5750499,8.77
270,0.85005688,73.17449052,7.36
271,0.85277163,-35.96517367,9.16
272,0.85551618,-26.41518293,8.82
273,0.85687021,-46.83096933,11.14
274,0.85715406,63.64052431,6.24
275,0.85767485,-29.0006136,9.44
276,0.85791177,20.66591788,7.49
277,0.85927886,-36.25120504,6.96
278,0.86311931,55.55090206,7.94
279,0.86377495,62.35780416,8.69
280,0.86626632,53.31270092,8.15
281,0.87618718,55.05995058,8.45
282,0.87642718,19.3815717,7.92
283,0.87715545,12.35682896,7.45
284,0.87833784,-65.8275666,9.01
285,0.88067333,-35.60222342,8.55
286,0.88130145,78.71780714,9.23
287,0.88580553,-13.2272653,9.16
288,0.88875927,42.35221969,7.9
289,0.90235854,-51.80908752,8.68
290,0.90411412,-31.09403248,7.78
291,0.90454413,-28.41713516,8.21
292,0.90870678,70.30603307,8.11
293,0.91589999,-57.16443914,8.29
294,0.91715645,3.90700467,7.89
295,0.91866516,-41.09585606,9.67
296,0.92207847,-28.39584776,8.24
297,0.92444478,48.43692667,6.8
298,0.92695552,13.36518977,8.18
299,0.93377179,-63.60066163,8.44
301,0.93488487,-17.33597002,4.55
300,0.93490863,42.02349764,7.45
302,0.96511407,66.71220273,6.31
303,0.96915935,57.37827711,8.15
304,0.96979503,22.29607151,8.27
305,0.97206281,-28.3937693,7.66
306,0.97473996,-57.8303572,8.59
307,0.97971157,-42.55949968,11.55
308,0.98353978,14.37891704,7.09
309,0.98590855,-45.28859728,8.54
310,0.98741047,-43.1915036,9.58
311,0.98758897,36.97021204,8.44
312,0.98959785,61.10364174,8.59
313,0.99110213,-48.12518732,8.01
314,0.99172662,20.95381941,8.29
315,0.99220988,-71.27863488,9.62
316,1.00099668,12.14583388,7.26
317,1.00253201,-80.3950701,7.91
318,1.00967468,-38.59474913,9.45
319,1.01581829,62.22195138,8.19
320,1.0212684,-16.99764075,12.14
321,1.03267114,-25.89254967,8.93
322,1.03517441,56.92100467,7.65
324,1.04254351,17.43668381,8.53
323,1.04272795,49.87020726,7.38
325,1.04362757,39.12012608,8.56
326,1.04484023,11.26438632,8.76
327,1.04616137,-4.92610737,9.56
328,1.04953066,-30.13491782,7.09
329,1.05137431,-10.14127928,9.83
330,1.05693212,62.2876646,5.9
331,1.05951147,-26.95235161,10.8
332,1.06083408,-34.41465369,8.41
333,1.06304747,-17.42485068,9.05
334,1.06385875,60.15501928,8.79
335,1.06601848,14.08162325,8.88
336,1.06656723,65.1529611,7.59
337,1.06725539,-25.91498946,9.6
338,1.06734897,66.34913841,10.66
339,1.06871389,-59.31518062,8.55
340,1.07383315,-43.98832631,8.11
341,1.07749772,-23.25395215,9.44
342,1.07898302,-20.5687452,9.6
343,1.08233885,-16.52888969,5.78
344,1.08364803,40.10995515,10.66
345,1.08457463,-29.26883006,6.38
346,1.08780834,-53.90948292,8.8
347,1.08869988,54.27460172,7.79
348,1.08880039,12.95705512,8.6
349,1.09539438,-29.38157885,7.77
350,1.0993091,-57.32287483,10.37
351,1.1026229,-47.06812971,9.8
352,1.11010195,58.06878245,10.42
353,1.11103092,-44.56734318,11.63
354,1.12334321,51.8293046,9.22
355,1.1255098,-10.50949443,4.99
356,1.12570193,-6.96533727,8.43
357,1.12719406,-72.8972207,7.33
358,1.13935928,-76.34653399,8.93
359,1.14426919,-76.87353696,9.09
360,1.14551227,71.96854252,9.26
361,1.14780002,-71.69499867,8.73
362,1.15064352,-19.43786312,9.18
363,1.15170942,43.55131855,8.12
364,1.15203505,-15.88920125,9.26
366,1.15246785,-31.16905083,8.94
365,1.15248379,42.09256148,6.11
367,1.15561443,-81.34531911,9.13
368,1.15607578,2.93722463,7.9
369,1.15890684,29.72229656,9.34
370,1.15940288,-51.58336438,7.13
371,1.16032911,-50.03593839,10.82
372,1.16559564,-70.40421693,7.46
373,1.1659799,-8.18490648,8.72
374,1.16704444,34.26519797,7.02
375,1.16729373,34.27150566,9.08
376,1.171564,6.52258527,8.37
377,1.17188841,-71.43685835,5.59
378,1.17191906,14.96533616,7.37
379,1.17432297,67.16638761,5.68
380,1.17796311,17.06977988,8.56
381,1.18518654,51.53385066,8.72
382,1.18816317,-32.36102308,9.06
383,1.18887204,0.05649086,8.82
384,1.19286162,1.53694172,8.18
385,1.19515384,38.17382611,9.39
386,1.20394853,68.1886971,9.1
387,1.20814095,38.78622411,8.46
388,1.21025761,6.41668139,9.15
389,1.21171086,-29.63304603,8.28
390,1.2117523,50.23487696,11.67
391,1.21196013,43.97079063,8.18
392,1.21651501,30.08593131,7.93
393,1.21827175,51.98257157,9.21
394,1.22172791,34.65955259,6.09
395,1.22216274,-30.25661295,8.31
